Date,Category,Amount,Description
2025-12-31,Food,5000.0,rice
2025-12-30,Transport,1200.0,fuel
2025-12-30,Utilities,4500.0,electricity bill
2025-12-29,Food,1500.0,groceries
2025-12-29,Entertainment,3000.0,movie tickets
2025-12-28,Health,2000.0,pharmacy
2025-12-28,Food,800.0,coffee
2025-12-27,Shopping,7500.0,new shoes
2025-12-27,Transport,500.0,bus fare
2025-12-26,Food,4200.0,dinner out
2025-12-26,Utilities,1200.0,water bill
2025-12-25,Gifts,10000.0,christmas presents
2025-12-24,Food,3500.0,turkey
2025-12-23,Transport,15000.0,flight ticket
2025-12-23,Food,600.0,snacks
2025-12-22,Health,5000.0,dental checkup
2025-12-22,Shopping,2200.0,t-shirt
2025-12-21,Food,1800.0,breakfast cafe
2025-12-21,Utilities,3000.0,internet subscription
2025-12-20,Entertainment,1500.0,streaming service
2025-12-19,Transport,800.0,taxi ride
2025-12-19,Food,2500.0,lunch delivery
2025-12-18,Education,12000.0,online course
2025-12-17,Food,900.0,bread and milk
2025-12-17,Shopping,4500.0,kitchenware
2025-12-16,Transport,1200.0,fuel
2025-12-15,Food,5500.0,weekly groceries
2025-12-14,Health,1200.0,vitamins
2025-12-13,Entertainment,5000.0,concert ticket
2025-12-12,Food,300.0,bottled water
2025-12-11,Utilities,2500.0,phone bill
2025-12-10,Shopping,15000.0,smartphone repair
2025-12-09,Transport,400.0,train ticket
2025-12-08,Food,2100.0,pizza night
2025-12-07,Gifts,3000.0,birthday flowers
2025-12-06,Food,1200.0,fruit market
2025-12-05,Health,8000.0,eye exam
2025-12-04,Transport,1200.0,fuel
2025-12-03,Food,4000.0,meat and poultry
2025-12-02,Utilities,1500.0,gas bill
2025-12-01,Rent,50000.0,monthly rent
2025-11-30,Food,700.0,evening tea
2025-11-29,Shopping,2500.0,books
